target,ch1,ch2,ch3,ch4,answer
enormously,appropriately,uniquely,tremendously,decidedly,tremendously
provisions,stipulations,interrelations,jurisdictions,interpretations,stipulations
haphazardly,dangerously,densely,randomly,linearly,randomly
prominent,battered,ancient,mysterious,conspicuous,conspicuous
zenith,completion,pinnacle,outset,decline,pinnacle
flawed,tiny,imperfect,lustrous,crude,imperfect
urgently,typically,conceivably,tentatively,desperately,desperately
consumed,bred,caught,eaten,supplied,eaten
advent,coming,arrest,financing,stability,coming
concisely,powerfully,positively,freely,succinctly,succinctly
salutes,information,ceremonies,greetings,privileges,greetings
solitary,alert,restless,alone,fearless,alone
hasten,permit,determine,accelerate,accompany,accelerate
perseverance,endurance,skill,generosity,disturbance,endurance
fanciful,familiar,imaginative,apparent,logical,imaginative
showed,demonstrated,published,repeated,postponed,demonstrated
constantly,instantly,continually,rapidly,accidentally,continually
issues,training,salaries,subjects,benefits,subjects
furnish,supply,impress,protect,advise,supply
costly,expensive,beautiful,popular,complicated,expensive
recognized,successful,depicted,acknowledged,welcomed,acknowledged
spot,climate,latitude,sea,location,location
make,earn,print,trade,borrow,earn
often,definitely,frequently,chemically,hardly,frequently
easygoing,frontier,boring,farming,relaxed,relaxed
debate,war,argument,election,competition,argument
narrow,clear,freezing,thin,poisonous,thin
arranged,planned,explained,studied,discarded,planned
infinite,limitless,relative,unusual,structural,limitless
showy,striking,prickly,entertaining,incidental,striking
levied,imposed,believed,requested,correlated,imposed
deftly,skillfully,prudently,occasionally,humorously,skillfully
distribute,commercialize,circulate,research,acknowledge,circulate
discrepancies,weights,deposits,wavelengths,differences,differences
prolific,productive,serious,capable,promising,productive
unmatched,unrecognized,unequaled,alienated,emulated,unequaled
peculiarly,partly,uniquely,patriotically,suspiciously,uniquely
hue,glare,contrast,color,scent,color
hind,curved,muscular,hairy,rear,rear
highlight,alter,imitate,accentuate,restore,accentuate
hastily,hurriedly,shrewdly,habitually,chronologically,hurriedly
temperate,cold,mild,short,windy,mild
grin,exercise,rest,joke,smile,smile
verbally,orally,overtly,fittingly,verbosely,orally
physician,chemist,pharmacist,nurse,doctor,doctor
essentially,possibly,eagerly,basically,ordinarily,basically
keen,useful,simple,famous,sharp,sharp
situated,rotating,isolated,emptying,positioned,positioned
principal,most,numerous,major,exceptional,major
slowly,rarely,gradually,effectively,continuously,gradually
built,constructed,proposed,financed,organized,constructed
tasks,customers,materials,shops,jobs,jobs
unlikely,improbable,disagreeable,different,unpopular,improbable
halfheartedly,customarily,bipartisanly,apathetically,unconventionally,apathetically
annals,homes,trails,chronicles,songs,chronicles
wildly,distinctively,mysteriously,abruptly,furiously,furiously
hailed,judged,acclaimed,remembered,addressed,acclaimed
command,observation,love,awareness,mastery,mastery
concocted,devised,cleaned,requested,supervised,devised
prospective,particular,prudent,potential,prominent,potential
generally,descriptively,broadly,controversially,accurately,broadly
sustained,prolonged,refined,lowered,analyzed,prolonged
perilous,binding,exciting,offensive,dangerous,dangerous
tranquillity,peacefulness,harshness,weariness,happiness,peacefulness
dissipate,disperse,isolate,disguise,photograph,disperse
primarily,occasionally,cautiously,consistently,chiefly,chiefly
colloquial,recorded,misunderstood,incorrect,conversational,conversational
resolved,publicized,forgotten,settled,examined,settled
feasible,permitted,possible,equitable,evident,possible
expeditiously,frequently,actually,rapidly,repeatedly,rapidly
percentage,volume,sample,proportion,profit,proportion
terminated,ended,posed,postponed,evaluated,ended
uniform,hard,complex,alike,sharp,alike
figure,list,solve,divide,express,solve
sufficient,recent,physiological,enough,valuable,enough
fashion,ration,fathom,craze,manner,manner
marketed,frozen,sold,sweetened,diluted,sold
bigger,steadier,closer,larger,better,larger
roots,origins,rituals,cure,function,origins
normally,haltingly,ordinarily,permanently,periodically,ordinarily
